Year;Company code;Function;TRIR;LTIR
2016;NN        ;Drilling;5,07;0
2016;NN        ;Exploration;0;0
2016;NN        ;Unspecified;0;0
2016;O         ;Construction;0;0
2016;O         ;Drilling;2,32;1,39
2016;O         ;Exploration;0;0
2016;O         ;Production;0;0
2016;O         ;Unspecified;0;0
2016;OO        ;Production;0;0
2016;OVERALL   ;Construction;0,69;0,13
2016;OVERALL   ;Drilling;1,71;0,54
2016;OVERALL   ;Exploration;1,07;0,22
2016;OVERALL   ;OVERALL;1,03;0,27
2016;OVERALL   ;Production;1,32;0,34
2016;OVERALL   ;Unspecified;0,53;0,14
2016;P         ;Drilling;0;0
2016;P         ;Production;1,52;0,76
2016;P         ;Unspecified;0;0
2016;PP        ;Drilling;0,97;0
2016;PP        ;Exploration;0;0
2016;PP        ;Production;1,67;0
2016;PP        ;Unspecified;0,52;0
2016;Q         ;Construction;6,85;0
2016;Q         ;Drilling;1,41;0
2016;Q         ;Production;1,76;1,76
2016;Q         ;Unspecified;0;0
2016;QQ        ;Construction;0;0
2016;QQ        ;Production;0,19;0
2016;R         ;Construction;1,6;0
2016;R         ;Drilling;3,36;0,75
2016;R         ;Exploration;0;0
2016;R         ;Production;3,39;0,42
2016;R         ;Unspecified;1,24;0,41
2016;S         ;Construction;10,42;1,74
2016;S         ;Drilling;6,57;0
2016;S         ;Exploration;0;0
2016;S         ;Production;5,34;0,31
2016;S         ;Unspecified;1,65;0,33
2016;T         ;Construction;1,15;0,52
2016;T         ;Drilling;1,24;0,79
2016;T         ;Exploration;0;0
2016;T         ;Production;0,69;0,21
2016;T         ;Unspecified;0,43;0,14
2016;U         ;Unspecified;0,86;0,34
2016;V         ;Drilling;3,56;0
2016;V         ;Production;8,89;1,27
2016;V         ;Unspecified;0;0
2016;W         ;Construction;1,51;0
2016;W         ;Drilling;1,78;0,2
2016;W         ;Exploration;1,08;0,27
2016;W         ;Production;1,54;0,46
2016;W         ;Unspecified;0,43;0,17
2016;X         ;Construction;2,36;0,39
2016;X         ;Drilling;2,71;0
2016;X         ;Exploration;0;0
2016;X         ;Production;2,5;0,62
2016;X         ;Unspecified;0,41;0
2016;Y         ;Construction;0;0
2016;Y         ;Drilling;6,29;1,26
2016;Y         ;Exploration;1,36;1,36
2016;Y         ;Production;0,68;0
2016;Y         ;Unspecified;1,93;0
2016;Z         ;Construction;0,21;0,1
2016;Z         ;Drilling;0,81;0,68
2016;Z         ;Exploration;0;0
2016;Z         ;Production;0,67;0,23
2016;Z         ;Unspecified;0,41;0
2017;A         ;Production;5,66;2,27
2017;AA        ;Construction;1,05;0,35
2017;AA        ;Drilling;0,77;0
2017;AA        ;Production;1,35;0,37
2017;AA        ;Unspecified;0,57;0,28
2017;B         ;Production;9,48;4,74
2017;B         ;Unspecified;0;0
2017;BB        ;Construction;0,57;0,11
2017;BB        ;Drilling;1,39;0,86
2017;BB        ;Exploration;1,22;0
2017;BB        ;Production;1,4;0,2
2017;BB        ;Unspecified;0,25;0,05
2017;C         ;Drilling;3,52;2,73
2017;C         ;Production;1,49;0,93
2017;CC        ;Unspecified;0,87;0,19
2017;D         ;Construction;0;0
2017;D         ;Drilling;3,21;0
2017;D         ;Exploration;0;0
2017;D         ;Production;4,68;2,16
2017;D         ;Unspecified;0;0
2017;DD        ;Construction;0,44;0,22
2017;DD        ;Drilling;0,29;0,24
2017;DD        ;Exploration;0;0
2017;DD        ;Production;0,62;0,16
2017;DD        ;Unspecified;0,15;0,15
2017;E         ;Construction;1,81;0,54
2017;E         ;Drilling;4,37;2,29
2017;E         ;Exploration;0;0
2017;E         ;Production;3,12;1,29
2017;E         ;Unspecified;1,24;0,62
2017;EE        ;Construction;0,36;0,06
2017;EE        ;Drilling;1,68;0,21
2017;EE        ;Production;1,44;0,29
2017;EE        ;Unspecified;0,52;0,13
2017;F         ;Construction;0;0
2017;F         ;Drilling;0;0
2017;F         ;Exploration;0;0
2017;F         ;Production;6,96;2,32
2017;F         ;Unspecified;3,55;0,51
2017;FF        ;Construction;0,52;0,11
2017;FF        ;Drilling;1,85;0,4
2017;FF        ;Exploration;0;0
2017;FF        ;Production;0,72;0,1
2017;FF        ;Unspecified;0,44;0,09
2017;G         ;Construction;2,33;1,25
2017;G         ;Drilling;3,21;1,42
2017;G         ;Exploration;3,29;3,29
2017;G         ;Production;1,15;0,49
2017;G         ;Unspecified;1,21;0,56
2017;GG        ;Construction;0,13;0,08
2017;GG        ;Drilling;0,56;0,16
2017;GG        ;Exploration;0;0
2017;GG        ;Production;0,39;0,18
2017;GG        ;Unspecified;0,21;0,12
2017;H         ;Construction;3,73;0
2017;H         ;Drilling;1,12;1,12
2017;H         ;Production;4,54;1,3
2017;H         ;Unspecified;0;0
2017;HH        ;Construction;0,74;0,08
2017;HH        ;Drilling;0,97;0,42
2017;HH        ;Exploration;0;0
2017;HH        ;Production;0,6;0,09
2017;HH        ;Unspecified;0,51;0,2
2017;I         ;Drilling;2,25;0,36
2017;I         ;Exploration;0,66;0,66
2017;I         ;Production;3,7;0,91
2017;I         ;Unspecified;2,48;0,44
2017;II        ;Construction;3,03;0
2017;II        ;Drilling;0;0
2017;II        ;Exploration;2,49;0,95
2017;II        ;Production;1,3;0,07
2017;II        ;Unspecified;0,73;0
2017;J         ;Construction;1,37;1,03
2017;J         ;Drilling;1,79;1,19
2017;J         ;Production;1,16;0,58
2017;J         ;Unspecified;0;0
2017;JJ        ;Construction;0,64;0,03
2017;JJ        ;Drilling;1,25;0,28
2017;JJ        ;Exploration;0;0
2017;JJ        ;Production;0,58;0,11
2017;JJ        ;Unspecified;0,61;0,06
2017;K         ;Construction;2,53;1,52
2017;K         ;Drilling;1,27;1,27
2017;K         ;Exploration;0;0
2017;K         ;Production;1,49;0,21
2017;K         ;Unspecified;0,67;0,45
2017;KK        ;Construction;0,06;0,03
2017;KK        ;Drilling;1,73;0,29
2017;KK        ;Exploration;0;0
2017;KK        ;Production;0,12;0,06
2017;KK        ;Unspecified;0,3;0,09
2017;L         ;Construction;0;0
2017;L         ;Drilling;4;0,73
2017;L         ;Production;2,84;0,68
2017;L         ;Unspecified;1,17;0,33
2017;LL        ;Construction;0,3;0
2017;LL        ;Production;0,44;0,06
2017;M         ;Construction;0;0
2017;M         ;Drilling;0;0
2017;M         ;Production;4,04;1,35
2017;M         ;Unspecified;2,45;0,61
2017;MM        ;Drilling;3,14;0
2017;MM        ;Unspecified;0;0
2017;N         ;Construction;3,88;0,97
2017;N         ;Drilling;4,01;1
2017;N         ;Exploration;2,87;1,43
2017;N         ;Production;3,22;0,31
2017;N         ;Unspecified;0;0
2017;NN        ;Drilling;0;0
2017;NN        ;Production;0;0
2017;NN        ;Unspecified;0;0
2017;O         ;Construction;2,51;0,5
2017;O         ;Drilling;3,47;0,69
2017;O         ;Exploration;37,59;15,04
2017;O         ;Production;1,29;0,28
2017;O         ;Unspecified;1,04;0,17
2017;OO        ;Drilling;0;0
2017;OO        ;Exploration;2,1;0
2017;OO        ;Unspecified;1,01;0
2017;OVERALL   ;Construction;0,65;0,16
2017;OVERALL   ;Drilling;1,71;0,51
2017;OVERALL   ;Exploration;0,69;0,21
2017;OVERALL   ;OVERALL;0,96;0,27
2017;OVERALL   ;Production;1,1;0,32
